Impact,Irradiance
9.972057393730719,27.0
9.613321598127454,27.5
9.273585890147272,28.0
8.951598721846024,28.5
8.646112770716757,29.0
8.356019158799793,29.5
8.080269725669647,30.0
7.817992680829204,30.5
7.568296237282802,31.0
7.3303602057269845,31.5
7.103510754241058,32.0
6.88704394322478,32.5
6.680309958826946,33.0
6.482782627249395,33.5
6.293899754503631,34.0
6.113140639736233,34.5
5.940090665190477,35.0
5.774296003021231,35.5
5.615356531870046,36.0
5.462878436389361,36.5
5.316556194367376,37.0
5.1760434615996385,37.5
5.041017312845407,38.0
4.911232783474122,38.5
4.786404103527985,39.0
4.66626417158763,39.5
4.55061539231778,40.0
4.439220019102318,40.5
4.331855335542271,41.0
4.228361116884959,41.5
4.128538040095504,42.0
4.032198995700565,42.5
3.939213472741541,43.0
3.8494131541331114,43.5
3.7626397338776103,44.0
3.6787864969550115,44.5
3.5977103462356177,45.0
3.5192899390861028,45.5
3.443397297872508,46.0
3.3699504375718403,46.5
3.298832974080889,47.0
3.2299350144990244,47.5
3.163189100998837,48.0
3.0984948690540124,48.5
3.035757410806354,49.0
2.9749211372583697,49.5
2.9158990178445143,50.0
2.8586086396242,50.5
2.8030041589747277,51.0
2.7490097112403635,51.5
2.6965637021611206,52.0
2.6455973121940675,52.5
2.596075095075118,53.0
2.5479333906154995,53.5
2.5011117419575215,54.0
2.455580961586912,54.5
2.4112849314646976,55.0
2.368170298251465,55.5
2.3262130848711693,56.0
2.2853636031245665,56.5
2.2455745635315543,57.0
2.2068263414229836,57.5
2.169074756458587,58.0
2.1322777199150975,58.5
2.096419253930285,59.0
2.0614599177725235,59.5
2.02736210323389,60.0
1.994112896446269,60.5
1.9616769529249283,61.0
1.9300279488401748,61.5
1.899133327379047,62.0
1.8689835225093394,62.5
1.8395478241974932,63.0
1.8107968917778443,63.5
1.7827232185196968,64.0
1.7552990551896288,64.5
1.7284978695273865,65.0
1.7023138970583793,65.5
1.676721981197561,66.0
1.6516980510709494,66.5
1.6272378183233998,67.0
1.6033184047690976,67.5
1.5799239732234123,68.0
1.5570332808591778,68.5
1.5346436650931132,69.0
1.512734873374139,69.5
1.4912874967522096,70.0
1.4702998790185349,70.5
1.4497534752108954,71.0
1.429630501762409,71.5
1.4099301571253913,72.0
1.3906354134052477,72.5
1.371729932072977,73.0
1.3532136373372445,73.5
1.335070853158048,74.0
1.317286529523958,74.5
1.2998612066225228,75.0
1.2827804165331558,75.5
1.2660302614809353,76.0
1.2496118039448803,76.5
1.2335116586809007,77.0
1.2177216440161513,77.5
1.2022292159300179,78.0
1.1870360107233964,78.5
1.1721299182571085,79.0
1.1574992916033688,79.5
1.143146119982162,80.0
1.129059140225436,80.5
1.1152275147095851,81.0
1.1016535296014398,81.5
1.0883266873053559,82.0
1.075236882091882,82.5
1.0623866489574316,83.0
1.0497661839561399,83.5
1.037370037274585,84.0
1.0251889739383502,84.5
1.01322579732133,85.0
1.0014715304758202,85.5
0.9899175225448535,86.0
0.9785667378631309,86.5
0.9674107553933399,87.0
0.9564414565437553,87.5
0.945661937311178,88.0
0.935064284082309,88.5
0.924640864308516,89.0
0.914394880358415,89.5
0.9043188827426787,90.0
0.8944056836575304,90.5
0.8846585700032176,91.0
0.8750705176587988,91.5
0.8656347465842127,92.0
0.8563546093458494,92.5
0.8472234724273311,93.0
0.8382381601446727,93.5
0.8293923850959988,94.0
0.820689562458162,94.5
0.8121235314457879,95.0
0.8036883401152599,95.5
0.7953874346879419,96.0
0.7872149768299512,96.5
0.7791653240685062,97.0
0.7712419421024653,97.5
0.7634392904878821,98.0
0.755752012743729,98.5
0.7481835840716247,99.0
0.7407287396926899,99.5
0.7333852158622849,100.0
0.7261480046997952,100.5
0.719020580936899,101.0
0.7119980163226095,101.5
0.7050755424185718,102.0
0.6982566252556207,102.5
0.6915365680785551,103.0
0.684910824925598,103.5
0.6783828471032175,104.0
0.6719481532146654,104.5
0.6656024043256833,105.0
0.6593490318662452,105.5
0.653183755083055,106.0
0.6471024279776562,106.5
0.6411084577113324,107.0
0.6351977507340428,107.5
0.6293663411084238,108.0
0.6236176079979997,108.5
0.6179476327604142,109.0
0.6123549817489319,109.5
0.6068359109458206,110.0
0.6013937573837399,110.5
0.5960248182608803,111.0
0.5907255036433556,111.5
0.5854991159907885,112.0
0.5803421025488936,112.5
0.5752510178318426,113.0
0.5702291276578854,113.5
0.5652730200796375,114.0
0.5603793851972323,114.5
0.5555514504881215,115.0
0.5507859363031088,115.5
0.5460817699895104,116.0
0.5414358098366926,116.5
0.5368512301180506,117.0
0.5323249154763745,117.5
0.5278538417183778,118.0
0.5234411419946475,118.5
0.5190838158655716,119.0
0.5147789498826332,119.5
0.5105296352983878,120.0
0.5063329800639188,120.5
0.5021861752096668,121.0
0.4980922695197374,121.5
0.49404847329094614,122.0
0.4900520762283051,122.5
0.48610608425552326,123.0
0.4822078044095129,123.5
0.47835461968619997,124.0
0.47454949291229354,124.5
0.47078982266020036,125.0
0.4689431864198259,125.5
0.46710940269324625,126.0
0.4652919183879462,126.5
0.46348874853382344,127.0
0.46169793842707674,127.5
0.45992290165009636,128.0
0.4581616819004879,128.5
0.456412352345294,129.0
0.4546782937456365,129.5
0.4529575775312577,130.0
0.45124830383713005,130.5
0.4495538211049084,131.0
0.44787222760816386,131.5
0.44620337687894746,132.0
0.4445454036784008,132.5
0.4429016141396234,133.0
0.4412701410173437,133.5
0.43964914410539807,134.0
0.43804189837532537,134.5
0.4364465615196273,135.0
0.43486131760205465,135.5
0.43328941092160084,136.0
0.4317290233564441,136.5
0.43017836251375524,137.0
0.4286406425037898,137.5
0.42711406867364154,138.0
0.42559687148140307,138.5
0.42409223532672413,139.0
0.4225983883419869,139.5
0.4211135831755876,140.0
0.41964097498863523,140.5
0.4181788140462694,141.0
0.4167269896009106,141.5
0.4152837829075581,142.0
0.4138523108740341,142.5
0.41243085230670207,143.0
0.41101770922273634,143.5
0.4096159703675228,144.0
0.408223935268262,144.5
0.4068399261366272,145.0
0.40546700400539054,145.5
0.40410348856086187,146.0
0.40274772166593337,146.5
0.40140273708350044,147.0
0.4000668741211281,147.5
0.3987400403305362,148.0
0.3974206029665805,148.5
0.3961115601164384,149.0
0.3948112764472987,149.5
0.39351813768477967,150.0
0.3922351156510288,150.5
0.39096059346490875,151.0
0.3896929748512219,151.5
0.38843520578555774,152.0
0.38718568737086495,152.5
0.3859428408785265,153.0
0.384709586848681,153.5
